RUN	linebot.LineBotSimulation	linebotsimulation	1593598413548	 	3.3.1
REQUEST	48		who are you	1593598425468	1593598425471	OK	 
REQUEST	48		parrot	1593598425473	1593598425474	OK	 
REQUEST	48		send location	1593598425475	1593598425477	OK	 
REQUEST	48		send postback	1593598425478	1593598425480	OK	 
USER	All Check	48	END	1593598425466	1593598425481
USER	All Check	49	START	1593598425525	1593598425525
REQUEST	49		who are you	1593598425527	1593598425529	OK	 
REQUEST	49		parrot	1593598425530	1593598425531	OK	 
REQUEST	49		send location	1593598425533	1593598425534	OK	 
REQUEST	49		send postback	1593598425535	1593598425536	OK	 
USER	All Check	49	END	1593598425525	1593598425538
USER	All Check	50	START	1593598425597	1593598425597
REQUEST	50		who are you	1593598425599	1593598425602	OK	 
REQUEST	50		parrot	1593598425604	1593598425605	OK	 
REQUEST	50		send location	1593598425606	1593598425607	OK	 
REQUEST	50		send postback	1593598425609	1593598425610	OK	 
USER	All Check	50	END	1593598425597	1593598425611
USER	All Check	51	START	1593598425657	1593598425657
REQUEST	51		who are you	1593598425659	1593598425661	OK	 
REQUEST	51		parrot	1593598425663	1593598425664	OK	 
REQUEST	51		send location	1593598425665	1593598425666	OK	 
REQUEST	51		send postback	1593598425668	1593598425669	OK	 
USER	All Check	51	END	1593598425657	1593598425670
USER	All Check	52	START	1593598425727	1593598425727
REQUEST	52		who are you	1593598425729	1593598425733	OK	 
REQUEST	52		parrot	1593598425734	1593598425736	OK	 
REQUEST	52		send location	1593598425737	1593598425739	OK	 
REQUEST	52		send postback	1593598425741	1593598425742	OK	 
USER	All Check	52	END	1593598425727	1593598425743
USER	All Check	53	START	1593598425786	1593598425786
REQUEST	53		who are you	1593598425787	1593598425789	OK	 
REQUEST	53		parrot	1593598425790	1593598425791	OK	 
REQUEST	53		send location	1593598425793	1593598425794	OK	 
REQUEST	53		send postback	1593598425795	1593598425796	OK	 
USER	All Check	53	END	1593598425786	1593598425797
USER	All Check	54	START	1593598425846	1593598425846
REQUEST	54		who are you	1593598425848	1593598425852	OK	 
REQUEST	54		parrot	1593598425853	1593598425855	OK	 
REQUEST	54		send location	1593598425856	1593598425858	OK	 
REQUEST	54		send postback	1593598425859	1593598425860	OK	 
USER	All Check	54	END	1593598425846	1593598425861
USER	All Check	55	START	1593598425905	1593598425905
REQUEST	55		who are you	1593598425906	1593598425908	OK	 
REQUEST	55		parrot	1593598425910	1593598425911	OK	 
REQUEST	55		send location	1593598425913	1593598425914	OK	 
REQUEST	55		send postback	1593598425915	1593598425917	OK	 
USER	All Check	55	END	1593598425905	1593598425918
USER	All Check	56	START	1593598425967	1593598425967
REQUEST	56		who are you	1593598425969	1593598425971	OK	 
REQUEST	56		parrot	1593598425973	1593598425973	OK	 
REQUEST	56		send location	1593598425975	1593598425976	OK	 
REQUEST	56		send postback	1593598425978	1593598425979	OK	 
USER	All Check	56	END	1593598425967	1593598425980
USER	All Check	57	START	1593598426025	1593598426025
REQUEST	57		who are you	1593598426027	1593598426029	OK	 
REQUEST	57		parrot	1593598426031	1593598426032	OK	 
REQUEST	57		send location	1593598426033	1593598426035	OK	 
REQUEST	57		send postback	1593598426036	1593598426037	OK	 
USER	All Check	57	END	1593598426025	1593598426039
USER	All Check	58	START	1593598426085	1593598426085
REQUEST	58		who are you	1593598426087	1593598426090	OK	 
REQUEST	58		parrot	1593598426091	1593598426092	OK	 
REQUEST	58		send location	1593598426094	1593598426095	OK	 
REQUEST	58		send postback	1593598426096	1593598426097	OK	 
USER	All Check	58	END	1593598426085	1593598426098
USER	All Check	59	START	1593598426136	1593598426136
REQUEST	59		who are you	1593598426138	1593598426140	OK	 
REQUEST	59		parrot	1593598426141	1593598426142	OK	 
REQUEST	59		send location	1593598426144	1593598426145	OK	 
REQUEST	59		send postback	1593598426146	1593598426147	OK	 
USER	All Check	59	END	1593598426136	1593598426148
USER	All Check	60	START	1593598426195	1593598426195
REQUEST	60		who are you	1593598426197	1593598426200	OK	 
REQUEST	60		parrot	1593598426202	1593598426203	OK	 
REQUEST	60		send location	1593598426204	1593598426206	OK	 
REQUEST	60		send postback	1593598426207	1593598426208	OK	 
USER	All Check	60	END	1593598426195	1593598426209
USER	All Check	61	START	1593598426256	1593598426256
REQUEST	61		who are you	1593598426258	1593598426261	OK	 
REQUEST	61		parrot	1593598426262	1593598426263	OK	 
REQUEST	61		send location	1593598426265	1593598426266	OK	 
REQUEST	61		send postback	1593598426268	1593598426269	OK	 
USER	All Check	61	END	1593598426256	1593598426270
USER	All Check	62	START	1593598426307	1593598426307
REQUEST	62		who are you	1593598426308	1593598426311	OK	 
REQUEST	62		parrot	1593598426312	1593598426313	OK	 
REQUEST	62		send location	1593598426314	1593598426315	OK	 
REQUEST	62		send postback	1593598426316	1593598426318	OK	 
USER	All Check	62	END	1593598426307	1593598426319
USER	All Check	63	START	1593598426356	1593598426356
REQUEST	63		who are you	1593598426358	1593598426361	OK	 
REQUEST	63		parrot	1593598426362	1593598426363	OK	 
REQUEST	63		send location	1593598426364	1593598426365	OK	 
REQUEST	63		send postback	1593598426367	1593598426368	OK	 
USER	All Check	63	END	1593598426356	1593598426369
USER	All Check	64	START	1593598426415	1593598426415
REQUEST	64		who are you	1593598426417	1593598426420	OK	 
REQUEST	64		parrot	1593598426421	1593598426423	OK	 
REQUEST	64		send location	1593598426424	1593598426425	OK	 
REQUEST	64		send postback	1593598426427	1593598426428	OK	 
USER	All Check	64	END	1593598426415	1593598426429
USER	All Check	65	START	1593598426465	1593598426465
REQUEST	65		who are you	1593598426467	1593598426471	OK	 
REQUEST	65		parrot	1593598426472	1593598426473	OK	 
REQUEST	65		send location	1593598426474	1593598426475	OK	 
REQUEST	65		send postback	1593598426476	1593598426477	OK	 
USER	All Check	65	END	1593598426465	1593598426479
USER	All Check	66	START	1593598426517	1593598426517
REQUEST	66		who are you	1593598426519	1593598426521	OK	 
REQUEST	66		parrot	1593598426522	1593598426523	OK	 
REQUEST	66		send location	1593598426525	1593598426525	OK	 
REQUEST	66		send postback	1593598426527	1593598426528	OK	 
USER	All Check	66	END	1593598426517	1593598426529
USER	All Check	67	START	1593598426565	1593598426565
REQUEST	67		who are you	1593598426567	1593598426569	OK	 
REQUEST	67		parrot	1593598426571	1593598426571	OK	 
REQUEST	67		send location	1593598426573	1593598426574	OK	 
REQUEST	67		send postback	1593598426575	1593598426576	OK	 
USER	All Check	67	END	1593598426565	1593598426576
USER	All Check	68	START	1593598426615	1593598426615
REQUEST	68		who are you	1593598426617	1593598426620	OK	 
REQUEST	68		parrot	1593598426621	1593598426622	OK	 
REQUEST	68		send location	1593598426623	1593598426624	OK	 
REQUEST	68		send postback	1593598426626	1593598426627	OK	 
USER	All Check	68	END	1593598426615	1593598426628
USER	All Check	69	START	1593598426666	1593598426666
REQUEST	69		who are you	1593598426668	1593598426670	OK	 
REQUEST	69		parrot	1593598426671	1593598426672	OK	 
REQUEST	69		send location	1593598426674	1593598426675	OK	 
REQUEST	69		send postback	1593598426676	1593598426677	OK	 
USER	All Check	69	END	1593598426666	1593598426678
USER	All Check	70	START	1593598426715	1593598426715
REQUEST	70		who are you	1593598426716	1593598426718	OK	 
REQUEST	70		parrot	1593598426719	1593598426720	OK	 
REQUEST	70		send location	1593598426721	1593598426722	OK	 
REQUEST	70		send postback	1593598426723	1593598426724	OK	 
USER	All Check	70	END	1593598426715	1593598426725
USER	All Check	71	START	1593598426766	1593598426766
REQUEST	71		who are you	1593598426767	1593598426771	OK	 
REQUEST	71		parrot	1593598426773	1593598426780	OK	 
REQUEST	71		send location	1593598426781	1593598426782	OK	 
REQUEST	71		send postback	1593598426783	1593598426784	OK	 
USER	All Check	71	END	1593598426766	1593598426785
USER	All Check	72	START	1593598426817	1593598426817
REQUEST	72		who are you	1593598426819	1593598426822	OK	 
REQUEST	72		parrot	1593598426824	1593598426825	OK	 
REQUEST	72		send location	1593598426826	1593598426828	OK	 
REQUEST	72		send postback	1593598426829	1593598426830	OK	 
USER	All Check	72	END	1593598426817	1593598426831
USER	All Check	73	START	1593598426855	1593598426855
REQUEST	73		who are you	1593598426856	1593598426859	OK	 
REQUEST	73		parrot	1593598426860	1593598426861	OK	 
REQUEST	73		send location	1593598426862	1593598426863	OK	 
REQUEST	73		send postback	1593598426865	1593598426865	OK	 
USER	All Check	73	END	1593598426855	1593598426866
USER	All Check	74	START	1593598426905	1593598426905
REQUEST	74		who are you	1593598426907	1593598426909	OK	 
REQUEST	74		parrot	1593598426910	1593598426911	OK	 
REQUEST	74		send location	1593598426912	1593598426913	OK	 
REQUEST	74		send postback	1593598426915	1593598426916	OK	 
USER	All Check	74	END	1593598426905	1593598426916
USER	All Check	75	START	1593598426946	1593598426946
REQUEST	75		who are you	1593598426947	1593598426949	OK	 
REQUEST	75		parrot	1593598426950	1593598426951	OK	 
REQUEST	75		send location	1593598426952	1593598426953	OK	 
REQUEST	75		send postback	1593598426955	1593598426956	OK	 
USER	All Check	75	END	1593598426946	1593598426957
USER	All Check	76	START	1593598426995	1593598426995
REQUEST	76		who are you	1593598426997	1593598426999	OK	 
REQUEST	76		parrot	1593598427001	1593598427002	OK	 
REQUEST	76		send location	1593598427005	1593598427007	OK	 
REQUEST	76		send postback	1593598427009	1593598427011	OK	 
USER	All Check	76	END	1593598426995	1593598427012
USER	All Check	77	START	1593598427045	1593598427045
REQUEST	77		who are you	1593598427047	1593598427050	OK	 
REQUEST	77		parrot	1593598427051	1593598427053	OK	 
REQUEST	77		send location	1593598427055	1593598427057	OK	 
REQUEST	77		send postback	1593598427058	1593598427060	OK	 
USER	All Check	77	END	1593598427045	1593598427061
USER	All Check	78	START	1593598427086	1593598427086
REQUEST	78		who are you	1593598427087	1593598427090	OK	 
REQUEST	78		parrot	1593598427091	1593598427092	OK	 
REQUEST	78		send location	1593598427093	1593598427094	OK	 
REQUEST	78		send postback	1593598427096	1593598427096	OK	 
USER	All Check	78	END	1593598427086	1593598427097
USER	All Check	79	START	1593598427127	1593598427127
REQUEST	79		who are you	1593598427128	1593598427130	OK	 
REQUEST	79		parrot	1593598427131	1593598427132	OK	 
REQUEST	79		send location	1593598427133	1593598427134	OK	 
REQUEST	79		send postback	1593598427136	1593598427137	OK	 
USER	All Check	79	END	1593598427127	1593598427138
USER	All Check	80	START	1593598427177	1593598427177
REQUEST	80		who are you	1593598427178	1593598427181	OK	 
REQUEST	80		parrot	1593598427182	1593598427183	OK	 
REQUEST	80		send location	1593598427184	1593598427185	OK	 
REQUEST	80		send postback	1593598427186	1593598427187	OK	 
USER	All Check	80	END	1593598427177	1593598427189
USER	All Check	81	START	1593598427215	1593598427215
REQUEST	81		who are you	1593598427217	1593598427219	OK	 
REQUEST	81		parrot	1593598427220	1593598427221	OK	 
REQUEST	81		send location	1593598427222	1593598427223	OK	 
REQUEST	81		send postback	1593598427225	1593598427225	OK	 
USER	All Check	81	END	1593598427215	1593598427226
USER	All Check	82	START	1593598427255	1593598427255
REQUEST	82		who are you	1593598427256	1593598427258	OK	 
REQUEST	82		parrot	1593598427259	1593598427260	OK	 
REQUEST	82		send location	1593598427262	1593598427263	OK	 
REQUEST	82		send postback	1593598427264	1593598427265	OK	 
USER	All Check	82	END	1593598427255	1593598427266
USER	All Check	83	START	1593598427295	1593598427295
REQUEST	83		who are you	1593598427297	1593598427300	OK	 
REQUEST	83		parrot	1593598427301	1593598427304	OK	 
REQUEST	83		send location	1593598427306	1593598427313	OK	 
REQUEST	83		send postback	1593598427314	1593598427315	OK	 
USER	All Check	83	END	1593598427295	1593598427316
USER	All Check	84	START	1593598427346	1593598427346
