RUN	linebot.LineBotSimulation	linebotsimulation	1593597963820	 	3.3.1
REQUEST	74		send postback	1593597977239	1593597977241	OK	 
USER	All Check	74	END	1593597977225	1593597977242
USER	All Check	75	START	1593597977275	1593597977275
REQUEST	75		who are you	1593597977278	1593597977281	OK	 
REQUEST	75		parrot	1593597977282	1593597977283	OK	 
REQUEST	75		send location	1593597977284	1593597977286	OK	 
REQUEST	75		send postback	1593597977290	1593597977292	OK	 
USER	All Check	75	END	1593597977275	1593597977293
USER	All Check	76	START	1593597977327	1593597977327
REQUEST	76		who are you	1593597977328	1593597977331	OK	 
REQUEST	76		parrot	1593597977333	1593597977335	OK	 
REQUEST	76		send location	1593597977336	1593597977337	OK	 
REQUEST	76		send postback	1593597977339	1593597977340	OK	 
USER	All Check	76	END	1593597977327	1593597977341
USER	All Check	77	START	1593597977366	1593597977366
REQUEST	77		who are you	1593597977367	1593597977370	OK	 
REQUEST	77		parrot	1593597977371	1593597977372	OK	 
REQUEST	77		send location	1593597977373	1593597977375	OK	 
REQUEST	77		send postback	1593597977377	1593597977379	OK	 
USER	All Check	77	END	1593597977366	1593597977380
USER	All Check	78	START	1593597977415	1593597977415
REQUEST	78		who are you	1593597977417	1593597977420	OK	 
REQUEST	78		parrot	1593597977421	1593597977423	OK	 
REQUEST	78		send location	1593597977424	1593597977426	OK	 
REQUEST	78		send postback	1593597977428	1593597977429	OK	 
USER	All Check	78	END	1593597977415	1593597977430
USER	All Check	79	START	1593597977456	1593597977456
REQUEST	79		who are you	1593597977458	1593597977462	OK	 
REQUEST	79		parrot	1593597977464	1593597977466	OK	 
REQUEST	79		send location	1593597977468	1593597977470	OK	 
REQUEST	79		send postback	1593597977472	1593597977474	OK	 
USER	All Check	79	END	1593597977456	1593597977475
USER	All Check	80	START	1593597977495	1593597977495
REQUEST	80		who are you	1593597977497	1593597977499	OK	 
REQUEST	80		parrot	1593597977501	1593597977502	OK	 
REQUEST	80		send location	1593597977503	1593597977504	OK	 
REQUEST	80		send postback	1593597977506	1593597977507	OK	 
USER	All Check	80	END	1593597977495	1593597977509
USER	All Check	81	START	1593597977546	1593597977546
REQUEST	81		who are you	1593597977547	1593597977550	OK	 
REQUEST	81		parrot	1593597977551	1593597977553	OK	 
REQUEST	81		send location	1593597977555	1593597977557	OK	 
REQUEST	81		send postback	1593597977558	1593597977560	OK	 
USER	All Check	81	END	1593597977546	1593597977561
USER	All Check	82	START	1593597977587	1593597977587
REQUEST	82		who are you	1593597977588	1593597977592	OK	 
REQUEST	82		parrot	1593597977594	1593597977595	OK	 
REQUEST	82		send location	1593597977597	1593597977598	OK	 
REQUEST	82		send postback	1593597977600	1593597977601	OK	 
USER	All Check	82	END	1593597977587	1593597977602
USER	All Check	83	START	1593597977625	1593597977625
REQUEST	83		who are you	1593597977626	1593597977629	OK	 
REQUEST	83		parrot	1593597977630	1593597977631	OK	 
REQUEST	83		send location	1593597977632	1593597977634	OK	 
REQUEST	83		send postback	1593597977635	1593597977636	OK	 
USER	All Check	83	END	1593597977625	1593597977637
USER	All Check	84	START	1593597977665	1593597977665
REQUEST	84		who are you	1593597977667	1593597977670	OK	 
REQUEST	84		parrot	1593597977671	1593597977673	OK	 
REQUEST	84		send location	1593597977674	1593597977676	OK	 
REQUEST	84		send postback	1593597977678	1593597977679	OK	 
USER	All Check	84	END	1593597977665	1593597977680
USER	All Check	85	START	1593597977706	1593597977706
REQUEST	85		who are you	1593597977707	1593597977712	OK	 
REQUEST	85		parrot	1593597977713	1593597977714	OK	 
