RUN	linebot.LineBotSimulation	linebotsimulation	1593580628513	 	3.3.1
REQUEST	41		parrot	1593580641440	1593580641442	OK	 
REQUEST	41		send location	1593580641443	1593580641445	OK	 
REQUEST	41		send postback	1593580641446	1593580641448	OK	 
USER	All Check	41	END	1593580641431	1593580641449
USER	All Check	42	START	1593580641521	1593580641521
REQUEST	42		healthy	1593580641522	1593580641525	OK	 
REQUEST	42		who are you	1593580641526	1593580641528	OK	 
REQUEST	42		parrot	1593580641530	1593580641532	OK	 
REQUEST	42		send location	1593580641533	1593580641535	OK	 
REQUEST	42		send postback	1593580641537	1593580641539	OK	 
USER	All Check	42	END	1593580641521	1593580641539
USER	All Check	43	START	1593580641612	1593580641612
REQUEST	43		healthy	1593580641613	1593580641617	OK	 
REQUEST	43		who are you	1593580641618	1593580641620	OK	 
REQUEST	43		parrot	1593580641621	1593580641623	OK	 
REQUEST	43		send location	1593580641624	1593580641626	OK	 
REQUEST	43		send postback	1593580641628	1593580641629	OK	 
USER	All Check	43	END	1593580641612	1593580641630
USER	All Check	44	START	1593580641702	1593580641702
REQUEST	44		healthy	1593580641703	1593580641705	OK	 
REQUEST	44		who are you	1593580641706	1593580641708	OK	 
REQUEST	44		parrot	1593580641709	1593580641712	OK	 
REQUEST	44		send location	1593580641713	1593580641715	OK	 
REQUEST	44		send postback	1593580641716	1593580641718	OK	 
USER	All Check	44	END	1593580641702	1593580641719
USER	All Check	45	START	1593580641782	1593580641782
REQUEST	45		healthy	1593580641783	1593580641786	OK	 
REQUEST	45		who are you	1593580641787	1593580641789	OK	 
REQUEST	45		parrot	1593580641791	1593580641793	OK	 
REQUEST	45		send location	1593580641794	1593580641796	OK	 
REQUEST	45		send postback	1593580641797	1593580641799	OK	 
USER	All Check	45	END	1593580641782	1593580641800
USER	All Check	46	START	1593580641872	1593580641872
REQUEST	46		healthy	1593580641873	1593580641876	OK	 
REQUEST	46		who are you	1593580641877	1593580641879	OK	 
REQUEST	46		parrot	1593580641880	1593580641882	OK	 
REQUEST	46		send location	1593580641884	1593580641886	OK	 
REQUEST	46		send postback	1593580641888	1593580641889	OK	 
USER	All Check	46	END	1593580641872	1593580641890
USER	All Check	47	START	1593580641952	1593580641952
REQUEST	47		healthy	1593580641953	1593580641956	OK	 
REQUEST	47		who are you	1593580641957	1593580641959	OK	 
REQUEST	47		parrot	1593580641961	1593580641963	OK	 
REQUEST	47		send location	1593580641964	1593580641966	OK	 
